IDNUMERO_ DE REPORTE,ÁREA ,TURNO,LÍNEA ,EQUIPO,CÓDIGO_SUBSISTEMA,SUPERVISOR,ESTATUS,REPORTA,TIPO DE FALLA,FECHA DE INICIO,HORA DE INICIO,FECHA DE CIERRE,HORA DE CIERRE,TIEMPO DE PROCURA,DOWNTIME
07951edd,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de armado de mosaico,06/04/2026,4:31:43,06/04/2026,4:40:47,,0:09:04
bf5c3cf5,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,Solapa de envoltura despegada,06/04/2026,4:47:05,06/04/2026,5:00:00,,0:12:55
2c7afc95,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Reemplazo de resistencia de  elemento de parada corta.,06/04/2026,22:30:21,07/04/2026,1:11:27,,2:41:06
125de2f5,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de accionamiento de transportador de salida debido a sensor desenfocado,06/04/2026,3:46:23,06/04/2026,4:07:33,,0:21:10
97fb0bdd,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Parada debido a intervención de robot de línea 1 ya que al no estar activo este último no permite el arranque de rodillos transportadores de salida de CBP32,06/04/2026,4:28:07,06/04/2026,4:55:01,,0:26:54
e6d6197b,ASÉPTICO,TURNO 2,LINEA 3,FW32,,RICARDO,FINALIZADO,SUPERVISOR,"-Falla: Ruptura de envases en el empujandor.

-Solución: La causa raíz del problema se debió a la falta de unos separadores de la guarda del transportador de entrada, lo cual ocasionaba que el transportador colisione con la guarda provocando la caída del envase y la ruptura del mismo.

Se procede a colocar los separadores en la guarda y continuar operaciones.",07/04/2026,19:31:00,07/04/2026,19:45:00,,0:14:00
11771314,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla: Atasco de paletas en carro de palet lleno debido a mal estado de las mismas,07/04/2026,23:30:00,07/04/2026,23:42:00,,0:12:00
3ecd350b,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla: Atasco de paletas robot linea 3 debido a mal estado de las mismas,07/04/2026,1:30:00,07/04/2026,1:39:00,,0:09:00
ccba8366,ASÉPTICO,TURNO 3,LINEA 3,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla: Atasco de paletas robot linea 3 debido a mal estado de las mismas,07/04/2026,1:54:00,07/04/2026,2:03:00,,0:09:00
15e80ffc,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla: Atasco de paletas robot aséptico debido a mal estado de las mismas,07/04/2026,23:37:00,07/04/2026,23:42:00,,0:05:00
c593dd65,ASÉPTICO,TURNO 3,LINEA 1,CAP,,YOLIANNY,FINALIZADO,SUPERVISOR,Maltrato de envase en entrada,07/04/2026,2:44:00,07/04/2026,2:51:00,,0:07:00
3e44b214,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,RICARDO,FINALIZADO,SUPERVISOR,"-Falla: Mal posicionamiento del cartón el carro arrastrador.

-Solución: La causa raíz del problema de debe por fuga de aire en la ventosa, ""Ruptura de ventosa"", se procede a sustituir ventosa y continuar producción.",08/04/2026,17:12:00,08/04/2026,17:25:00,,0:13:00
9dda0174,ASÉPTICO,TURNO 2,LINEA 2,TAVIL,,RICARDO,FINALIZADO,SUPERVISOR,"Falla: Desenfoque de sensores y reflectores en bateria robot tavil.

La falla ocasiona, el mal armado del Mosaico ya que tumba una de las cajas en la sortida de 06 unidades. Se procede a enfocar Sensor reflector.",08/04/2026,15:30:00,08/04/2026,15:35:00,,0:05:00
d50c919a,ASÉPTICO,TURNO 2,LINEA 2,FW32,,RICARDO,FINALIZADO,SUPERVISOR,"Falla: Caída de envases en el transportador de salida de la film 

-Solución: La falla consiste en la tranferencia del tripack con respecto al transportador de salida, la misma colisiona con el transportador, se procedió a colocar suplementos en guías de transferencia para aumenta la altura  y quedar alineada con el transportador, se prueba y se entrega operativo.",08/04/2026,16:44:00,08/04/2026,16:50:00,,0:06:00
f558253b,ASÉPTICO,TURNO 2,LINEA 2,TAVIL,,RICARDO,FINALIZADO,SUPERVISOR,Atasco de paletas por malas condiciones,08/04/2026,18:00:00,08/04/2026,18:25:00,,0:25:00
0a93c104,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Mala alineación de empalme izquierda a derecha solucion: se ajusta mesa de corte derecha.,08/04/2026,0:31:00,08/04/2026,0:47:00,,0:16:00
d982b98b,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Mala alineación de empalme izquierda a derecha solucion: se ajusta mesa de corte derecha.,08/04/2026,2:48:00,08/04/2026,2:56:00,,0:08:00
d35514ac,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Mala alineación de empalme izquierda a derecha solucion: se ajusta mesa de corte derecha.,08/04/2026,5:23:00,08/04/2026,5:38:00,,0:15:00
d193ac0e,ASÉPTICO,TURNO 2,LINEA 2,HELIX,,RICARDO,FINALIZADO,SUPERVISOR,"Helix: Falla: Se dispara guarda motor, Sobre Carga de motor del transportador de salida.

-Solución: Se verifican condiciones en el panel y se observa guarda disparado, se procede a lubricar transportador de salida con lubricante dicoluble, por otro lado se realiza aclarado, se miden condiciones eléctricas de consumo en el motor encontrándose en buen estado. Se entrega el equipo operativo.",09/04/2026,16:41:00,09/04/2026,17:30:00,,0:49:00
204529fa,ASÉPTICO,TURNO 3,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Se percibe ligero indicio de fuga de tinta durante los análisis de integridad, esto producto de desgaste excesivo y deformación de rodillo de contrapresión de elemento de AT. Se ajusta posición de rodillo, se aplica calor para mecanizar ligeramente rodillo.",09/04/2026,0:43:00,09/04/2026,0:46:00,,0:03:00
936fbcc1,ASÉPTICO,TURNO 3,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Se percibe ligero indicio de fuga de tinta durante los análisis de integridad, esto producto de desgaste excesivo y deformación de rodillo de contrapresión de elemento de AT. Se ajusta posición de rodillo, se aplica calor para mecanizar ligeramente rodillo.",09/04/2026,2:27:00,09/04/2026,2:32:00,,0:05:00
da8daff7,ASÉPTICO,TURNO 3,LINEA 2,FW32,,YOLIANNY,FINALIZADO,SUPERVISOR,Caída de envases en entrada,09/04/2026,3:02:00,09/04/2026,3:22:00,,0:20:00
e430fec2,ASÉPTICO,TURNO 3,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Se percibe ligero indicio de fuga de tinta durante los análisis de integridad, esto producto de desgaste excesivo y deformación de rodillo de contrapresión de elemento de AT. Se ajusta posición de rodillo, se aplica calor para mecanizar ligeramente rodillo.",09/04/2026,3:29:47,09/04/2026,3:52:29,,0:22:42
9595ba2f,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,"Solapas de envoltura despegadas, se realizan ajustes en prensa.",13/04/2026,16:54:05,13/04/2026,17:14:00,,0:19:55
045640b5,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,"Atasco de envases en empujador, se ajusta placa de transferencia.",13/04/2026,17:48:00,13/04/2026,17:55:00,,0:07:00
06cade92,ASÉPTICO,TURNO 2,LINEA 1,CBP32,,YOLIANNY,FINALIZADO,SUPERVISOR,"Atasco de envases en empujador, ajustes en placa de transferencia.",13/04/2026,18:14:00,13/04/2026,18:18:00,,0:04:00
4efbfbdd,ASÉPTICO,TURNO 2,LINEA 1,A3FLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de comunicación  (Tpop muestra alarma de comunicación) se reinicia para eliminar error de comunicación.,13/04/2026,19:20:00,13/04/2026,19:29:00,,0:09:00
a5eb072b,ASÉPTICO,TURNO 2,LINEA 1,A3FLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de comunicación (TPOP muestra alarma de comunicación) se reinicia para eliminar error de comunicación.,13/04/2026,20:16:00,13/04/2026,20:31:00,,0:15:00
49ce7c9c,ASÉPTICO,TURNO 2,LINEA 1,TAVIL,,YOLIANNY,FINALIZADO,SUPERVISOR,Paleta atascada debido a mal estado de la misma,13/04/2026,19:41:07,13/04/2026,20:01:00,,0:19:53
09a2409e,ASÉPTICO,TURNO 2,LINEA 2,ALMIX,,YOLIANNY,FINALIZADO,SUPERVISOR,Coleo en preparación debido a intervención del equipo,13/04/2026,20:15:45,13/04/2026,21:35:00,,1:19:15
783a8b16,ASÉPTICO,TURNO 2,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Instalación de portabobina,13/04/2026,17:11:57,13/04/2026,18:00:00,,0:48:03
c0cc5c71,ASÉPTICO,TURNO 2,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Falla de temperatura de SL,13/04/2026,15:13:16,13/04/2026,15:26:00,,0:12:44
8f208f84,ASÉPTICO,TURNO 3,LINEA 2,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se drena y recarga peróxido,13/04/2026,22:30:00,13/04/2026,22:37:00,,0:07:00
b85f9e44,ASÉPTICO,TURNO 3,LINEA 2,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se enfoca sensor de presencia de paleta en el carro de palets vacíos,13/04/2026,23:35:00,13/04/2026,23:41:00,,0:06:00
,,,,,,,,,,,,,,,
3ee44cce,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se enfoca sensor de presencia de carro de palets vacíos,13/04/2026,23:45:00,14/04/2026,0:00:00,,0:15:00
993bef1c,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Se sacan envases atorados en el transportador de entrada,maltrato al pasar por la placa de transferencia. Causa: arrastradores demasiado cerrados. Solucion: ajuste de la placa de transferencia.",14/04/2026,0:18:00,14/04/2026,0:38:00,,0:20:00
6a8b8eaf,ASÉPTICO,TURNO 3,LINEA 1,A3FLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Se sincroniza plegadora vía TPOP, se reinicia para eliminar error de comunicación.",14/04/2026,0:38:00,14/04/2026,0:36:00,,23:58:00
12589452,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se enfoca en varias ocasiones el sensor de salida del transportador,14/04/2026,1:00:00,14/04/2026,2:03:00,,1:03:00
59c17e00,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se referencia empujador vía TPOP,14/04/2026,4:05:00,14/04/2026,4:12:00,,0:07:00
2086dd2b,ASÉPTICO,TURNO 2,LINEA 2,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Alarma de temperatura de calentador de solapas fuera de rango debido a guardamotor disparado en tablero eléctrico principal,14/04/2026,16:16:18,14/04/2026,16:23:10,,0:06:52
f1b05071,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Retraso en el arranque debido a Falla de comunicación en controlador de línea. Devicenet presenta alarma roja mostrando error E78 en los nodos del 1 al 16. TPOP de controlador muestra error de motor de transportador de salida (Movifit). Se realiza inspección detallada señal a señal de PLC y se detecta que la causa raíz es la falta de la señal de reset principal lo que ocasionaba que el pluto no rearmara, impidiendo la activación de las señales de salidas de este.",14/04/2026,15:00:00,14/04/2026,21:20:08,,6:20:08
e7c22ad1,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,"Alarma de posición incorrecta de válvula A, se ajusta posición de sensor detector.",14/04/2026,21:30:04,14/04/2026,21:37:05,,0:07:01
23f5e999,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Atasco de envases en plegadora.,14/04/2026,21:50:00,14/04/2026,22:10:56,,0:20:56
885a4fe7,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,YOLIANNY,FINALIZADO,SUPERVISOR,Posición incorrecta de elemento de para corta de AT,14/04/2026,22:19:10,14/04/2026,22:30:00,,0:10:50
b9766efe,ASÉPTICO,TURNO 3,LINEA 2,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Paleta en mal estado atorada en el transportador de palets llenos, se saca de manera manual",15/04/2026,0:20:00,15/04/2026,0:49:00,,0:29:00
7e78385c,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Paleta en mal estado atorada en el transportador de salida, se saca de manera manual",15/04/2026,1:42:00,15/04/2026,2:02:00,,0:20:00
b8ff5c7e,ASÉPTICO,TURNO 3,LINEA 2,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Paleta en mal estado atorada en el transportador de palets llenos, se saca de manera manual",15/04/2026,1:38:00,15/04/2026,1:54:00,,0:16:00
c4cee8b2,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se sustituye empate sencillo paso 50 en la cadena motriz de la plataforma de salida de la enfardadora,15/04/2026,2:48:00,15/04/2026,3:01:00,,0:13:00
cba9b0e3,ASÉPTICO,TURNO 3,LINEA 2,FW32,,EUSTORGIO,FINALIZADO,SUPERVISOR,"El TPOP muestra alarma de cilindro de la sufridera, se ajusta sensor en varias ocasiones.",15/04/2026,3:13:00,15/04/2026,4:35:00,,1:22:00
b4b14bdb,ASÉPTICO,TURNO 3,LINEA 1,CBP32,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Se regula aire del cilindro de la guillotina, se apaga y enciende el equipo",15/04/2026,4:49:00,15/04/2026,4:24:00,,23:35:00
01cada34,ASÉPTICO,TURNO 3,LINEA 3,A3CFLEX,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Se ajustan rodillos de presión y contrapresión del AT, se ajusta sensor de posición del cilindro de parada corta del AT, se coloca retén faltante al eje del cilindro.",14/04/2026,22:30:00,15/04/2026,7:00:00,,8:30:00
a80cd318,ASÉPTICO,TURNO 3,LINEA 1,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,"Paleta en mal está atorada, se saca de manera manual.",15/04/2026,6:00:00,15/04/2026,6:32:00,,0:32:00
e7b62b0f,ASÉPTICO,TURNO 3,LINEA 2,FW32,,EUSTORGIO,FINALIZADO,SUPERVISOR,Se ajusta posición del sensor del cilindro de la sufridera,15/04/2026,5:00:00,15/04/2026,5:55:00,,0:55:00
5eca7597,ASÉPTICO,TURNO 3,LINEA 2,TAVIL,,EUSTORGIO,FINALIZADO,SUPERVISOR,Paleta atorada,15/04/2026,6:23:00,15/04/2026,6:32:00,,0:09:00
8eb81332,ASÉPTICO,TURNO 2,LINEA 3,A3CFLEX,,RICARDO,FINALIZADO,SUPERVISOR,"Unidad de alimentación, fallo  adquisición posición de referencia: se realiza la intervención del equipo se observa cable de sensor T50B1300 partido, se procede a realizar la sustitución del mismo. Queda operativo.",15/04/2026,19:10:02,15/04/2026,20:47:00,,1:36:58
